Handle    	Owner               	Type                	Memory    	Time Created                  
---------------------------------------------------------------------------------------------
0x00100001	NONE                	Identity            	-1        	12/12/2022 - 18:48:51         
0x00300003	NONE                	BitBufReader        	24        	12/12/2022 - 18:48:51         
0x00700007	NONE                	ConVar              	100       	12/12/2022 - 18:48:51         
0x01100011	PLUGINSYS           	Plugin              	5526      	12/12/2022 - 18:48:52         
0x01500015	PLUGINSYS           	Plugin              	5456      	12/12/2022 - 18:48:52         
0x01a0001a	PLUGINSYS           	Plugin              	5456      	12/12/2022 - 18:48:52         
0x01c0001c	PLUGINSYS           	Plugin              	5508      	12/12/2022 - 18:48:52         
0x01f0001f	PLUGINSYS           	Plugin              	5460      	12/12/2022 - 18:48:52         
0x02100021	PLUGINSYS           	Plugin              	5580      	12/12/2022 - 18:48:52         
0x02200022	zr/zombiereloaded.sm	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x02300023	zr/zombiereloaded.sm	GlobalFwd           	88        	12/12/2022 - 18:48:52         
0x02400024	zr/zombiereloaded.sm	GlobalFwd           	124       	12/12/2022 - 18:48:52         
0x02500025	zr/zombiereloaded.sm	GlobalFwd           	16        	12/12/2022 - 18:48:52         
0x02600026	zr/zombiereloaded.sm	GlobalFwd           	64        	12/12/2022 - 18:48:52         
0x02700027	zr/zombiereloaded.sm	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x02800028	zr/zombiereloaded.sm	GlobalFwd           	16        	12/12/2022 - 18:48:52         
0x02900029	zr/zombiereloaded.sm	GlobalFwd           	16        	12/12/2022 - 18:48:52         
0x02a0002a	zr/zombiereloaded.sm	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x02b0002b	zr/zombiereloaded.sm	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x02d0002d	PLUGINSYS           	Plugin              	5543      	12/12/2022 - 18:48:52         
0x02f0002f	PLUGINSYS           	Plugin              	5480      	12/12/2022 - 18:48:52         
0x03100031	PLUGINSYS           	Plugin              	5542      	12/12/2022 - 18:48:52         
0x03300033	PLUGINSYS           	Plugin              	5536      	12/12/2022 - 18:48:52         
0x03500035	PLUGINSYS           	Plugin              	5533      	12/12/2022 - 18:48:52         
0x03600036	zr/zr_grenade_effect	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x03700037	zr/zr_grenade_effect	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x03800038	zr/zr_grenade_effect	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x03900039	zr/zr_grenade_effect	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x03b0003b	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x03d0003d	PLUGINSYS           	Plugin              	5472      	12/12/2022 - 18:48:52         
0x04000040	PLUGINSYS           	Plugin              	5482      	12/12/2022 - 18:48:52         
0x04200042	PLUGINSYS           	Plugin              	5460      	12/12/2022 - 18:48:52         
0x04400044	PLUGINSYS           	Plugin              	5460      	12/12/2022 - 18:48:52         
0x04600046	PLUGINSYS           	Plugin              	5508      	12/12/2022 - 18:48:52         
0x04700047	nide_anticheat/smac.	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x04900049	PLUGINSYS           	Plugin              	5550      	12/12/2022 - 18:48:52         
0x04d0004d	PLUGINSYS           	Plugin              	5456      	12/12/2022 - 18:48:52         
0x8550004e	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:50:13         
0xa140004f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:49:37         
0x57b00050	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:46:16         
0xfe600051	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:55:49         
0xdd300053	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:57         
0xde800054	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:38:52         
0x57b00055	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:20:23         
0x1aa00056	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:49:08         
0xd9d00058	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:49:06         
0x08d00059	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:49:04         
0xdca0005a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:52:33         
0xeb30005b	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:34         
0x05d0005d	PLUGINSYS           	Plugin              	5460      	12/12/2022 - 18:48:52         
0x05f0005f	PLUGINSYS           	Plugin              	5509      	12/12/2022 - 18:48:52         
0x06100061	PLUGINSYS           	Plugin              	5488      	12/12/2022 - 18:48:52         
0x06200062	sourcebans/sbpp_comm	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x06400064	PLUGINSYS           	Plugin              	5479      	12/12/2022 - 18:48:52         
0x06500065	sourcebans/sbpp_main	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x06600066	sourcebans/sbpp_main	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x06700067	sourcebans/sbpp_main	GlobalFwd           	16        	12/12/2022 - 18:48:52         
0x06900069	PLUGINSYS           	Plugin              	5479      	12/12/2022 - 18:48:52         
0x06b0006b	PLUGINSYS           	Plugin              	5521      	12/12/2022 - 18:48:52         
0x06d0006d	PLUGINSYS           	Plugin              	5520      	12/12/2022 - 18:48:52         
0x06f0006f	PLUGINSYS           	Plugin              	5537      	12/12/2022 - 18:48:52         
0x07200072	PLUGINSYS           	Plugin              	5517      	12/12/2022 - 18:48:52         
0x07400074	PLUGINSYS           	Plugin              	5522      	12/12/2022 - 18:48:52         
0x07600076	PLUGINSYS           	Plugin              	5456      	12/12/2022 - 18:48:52         
0x07800078	PLUGINSYS           	Plugin              	5547      	12/12/2022 - 18:48:52         
0x07a0007a	PLUGINSYS           	Plugin              	5573      	12/12/2022 - 18:48:52         
0x07c0007c	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x07e0007e	PLUGINSYS           	Plugin              	5507      	12/12/2022 - 18:48:52         
0x08000080	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x08200082	PLUGINSYS           	Plugin              	5546      	12/12/2022 - 18:48:52         
0x08400084	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x08600086	PLUGINSYS           	Plugin              	5469      	12/12/2022 - 18:48:52         
0x08800088	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x08a0008a	PLUGINSYS           	Plugin              	5508      	12/12/2022 - 18:48:52         
0x08c0008c	PLUGINSYS           	Plugin              	5466      	12/12/2022 - 18:48:52         
0x08e0008e	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x09000090	PLUGINSYS           	Plugin              	5534      	12/12/2022 - 18:48:52         
0x09200092	PLUGINSYS           	Plugin              	5563      	12/12/2022 - 18:48:52         
0x09400094	PLUGINSYS           	Plugin              	5519      	12/12/2022 - 18:48:52         
0x09600096	PLUGINSYS           	Plugin              	5531      	12/12/2022 - 18:48:52         
0x09800098	PLUGINSYS           	Plugin              	5524      	12/12/2022 - 18:48:52         
0x09a0009a	PLUGINSYS           	Plugin              	5456      	12/12/2022 - 18:48:52         
0x09c0009c	PLUGINSYS           	Plugin              	5515      	12/12/2022 - 18:48:52         
0x09f0009f	PLUGINSYS           	Plugin              	5456      	12/12/2022 - 18:48:52         
0x0a1000a1	PLUGINSYS           	Plugin              	5520      	12/12/2022 - 18:48:52         
0x0a3000a3	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x0a5000a5	PLUGINSYS           	Plugin              	5519      	12/12/2022 - 18:48:52         
0x0a7000a7	PLUGINSYS           	Plugin              	5537      	12/12/2022 - 18:48:52         
0x0a9000a9	PLUGINSYS           	Plugin              	5532      	12/12/2022 - 18:48:52         
0x0ab000ab	PLUGINSYS           	Plugin              	5487      	12/12/2022 - 18:48:52         
0x0ad000ad	PLUGINSYS           	Plugin              	5522      	12/12/2022 - 18:48:52         
0x0b0000b0	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x0b2000b2	PLUGINSYS           	Plugin              	5524      	12/12/2022 - 18:48:52         
0x0b4000b4	PLUGINSYS           	Plugin              	5514      	12/12/2022 - 18:48:52         
0x0b6000b6	PLUGINSYS           	Plugin              	5533      	12/12/2022 - 18:48:52         
0x0b8000b8	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x0ba000ba	PLUGINSYS           	Plugin              	5544      	12/12/2022 - 18:48:52         
0x0bc000bc	PLUGINSYS           	Plugin              	5458      	12/12/2022 - 18:48:52         
0x0be000be	PLUGINSYS           	Plugin              	5519      	12/12/2022 - 18:48:52         
0x0c0000c0	PLUGINSYS           	Plugin              	5529      	12/12/2022 - 18:48:52         
0x0c2000c2	PLUGINSYS           	Plugin              	5521      	12/12/2022 - 18:48:52         
0x0c4000c4	PLUGINSYS           	Plugin              	5521      	12/12/2022 - 18:48:52         
0x0c6000c6	PLUGINSYS           	Plugin              	5456      	12/12/2022 - 18:48:52         
0x0c8000c8	PLUGINSYS           	Plugin              	5563      	12/12/2022 - 18:48:52         
0x0ca000ca	PLUGINSYS           	Plugin              	5516      	12/12/2022 - 18:48:52         
0x0cc000cc	PLUGINSYS           	Plugin              	5459      	12/12/2022 - 18:48:52         
0x0ce000ce	PLUGINSYS           	Plugin              	5515      	12/12/2022 - 18:48:52         
0x0cf000cf	custom/LagReducer.sm	GlobalFwd           	16        	12/12/2022 - 18:48:52         
0x0d0000d0	custom/LagReducer.sm	GlobalFwd           	52        	12/12/2022 - 18:48:52         
0x0d1000d1	custom/LagReducer.sm	GlobalFwd           	4         	12/12/2022 - 18:48:52         
0x0d3000d3	PLUGINSYS           	Plugin              	5466      	12/12/2022 - 18:48:52         
0x0d5000d5	PLUGINSYS           	Plugin              	5533      	12/12/2022 - 18:48:52         
0x0d7000d7	PLUGINSYS           	Plugin              	5501      	12/12/2022 - 18:48:52         
0x0d9000d9	PLUGINSYS           	Plugin              	5481      	12/12/2022 - 18:48:52         
0x0db000db	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x0dd000dd	PLUGINSYS           	Plugin              	5510      	12/12/2022 - 18:48:52         
0x0df000df	PLUGINSYS           	Plugin              	5513      	12/12/2022 - 18:48:52         
0x0e1000e1	PLUGINSYS           	Plugin              	5456      	12/12/2022 - 18:48:52         
0x0e3000e3	PLUGINSYS           	Plugin              	5444      	12/12/2022 - 18:48:52         
0x0e5000e5	PLUGINSYS           	Plugin              	5513      	12/12/2022 - 18:48:52         
0x0e7000e7	PLUGINSYS           	Plugin              	5567      	12/12/2022 - 18:48:52         
0x0e9000e9	PLUGINSYS           	Plugin              	5465      	12/12/2022 - 18:48:52         
0x0eb000eb	PLUGINSYS           	Plugin              	5506      	12/12/2022 - 18:48:52         
0x0ed000ed	PLUGINSYS           	Plugin              	5549      	12/12/2022 - 18:48:52         
0x0ef000ef	PLUGINSYS           	Plugin              	5508      	12/12/2022 - 18:48:52         
0x0f2000f2	PLUGINSYS           	Plugin              	5522      	12/12/2022 - 18:48:52         
0x0f4000f4	PLUGINSYS           	Plugin              	5531      	12/12/2022 - 18:48:52         
0x0f6000f6	PLUGINSYS           	Plugin              	5507      	12/12/2022 - 18:48:52         
0x0f8000f8	PLUGINSYS           	Plugin              	5536      	12/12/2022 - 18:48:52         
0x0fa000fa	PLUGINSYS           	Plugin              	5552      	12/12/2022 - 18:48:52         
0x0fc000fc	PLUGINSYS           	Plugin              	5478      	12/12/2022 - 18:48:52         
0x0fe000fe	PLUGINSYS           	Plugin              	5498      	12/12/2022 - 18:48:52         
